,BAIRRO,Hab,Area,Den
0,SAO CRISTOVAO,26510.0,4.1056,6457.03429462198
1,BENFICA,25081.0,1.7364,14444.25247638793
2,CAJU,20477.0,5.3475,3829.2660121552126
3,CATUMBI,12556.0,0.5395,23273.401297497683
4,CENTRO,41142.0,5.7231,7188.761335639776
5,CIDADE NOVA,5466.0,0.9348000000000001,5847.2400513478815
6,ESTACIO,17189.0,0.9804,17532.639738882088
7,GAMBOA,13108.0,1.1129,11778.237038368226
8,LAPA,4897.0,0.4,12242.5
9,MANGUEIRA,17835.0,0.7981,22346.823706302468
10,PAQUETA,3361.0,1.7057,1970.4520138359617
11,RIO COMPRIDO,43764.0,3.3425,13093.193717277487
12,SANTA TERESA,40926.0,5.157100000000001,7935.85542262124
13,SANTO CRISTO,12330.0,1.6847,7318.810470706951
14,SAUDE,2749.0,0.3638,7556.349642660803
15,VASCO DA GAMA,20126.0,1.0031,20063.802213139264
16,BOTAFOGO,82890.0,4.7989999999999995,17272.348405917903
17,CATETE,24057.0,0.6809999999999999,35325.99118942732
18,COPACABANA,146392.0,4.1,35705.36585365854
19,COSME VELHO,7178.0,0.8925,8042.577030812326
20,FLAMENGO,50043.0,1.6462999999999999,30397.25444937132
21,GAVEA,17475.0,2.5796,6774.306093968057
22,GLORIA,9661.0,1.1401000000000001,8473.818086132795
23,HUMAITA,13285.0,1.0545,12598.387861545756
24,IPANEMA,42743.0,3.0849,13855.5544750235
25,JARDIM BOTANICO,18009.0,2.6892,6696.787148594378
26,LAGOA,21198.0,5.1099,4148.417777255915
27,LARANJEIRAS,45554.0,2.4935,18269.099659113694
28,LEBLON,46044.0,2.1531000000000002,21384.97979657238
29,LEME,14799.0,0.9772,15144.28980761359
30,SAO CONRADO,10980.0,6.4886,1692.1986252812626
31,URCA,7061.0,2.319,3044.846916774472
32,VIDIGAL,12797.0,1.6214,7892.561983471074
33,ANIL,24172.0,3.5004000000000004,6905.496514684035
34,BARRA DA TIJUCA,135924.0,48.150600000000004,2822.893172670745
35,CAMORIM,1970.0,8.8599,222.35013939209247
36,CIDADE DE DEUS,36515.0,1.2058,30282.799800962017
37,CURICICA,31189.0,3.3396,9339.142412264942
38,FREGUESIA DE JACAREPAGUA,70511.0,10.3961,6782.4472638778
39,GARDENIA AZUL,17715.0,1.2363,14329.046347973794
40,GRUMARI,167.0,9.5988,17.398008084343875
41,ITANHANGA,38415.0,8.08,4754.331683168317
42,JACAREPAGUA,157326.0,75.7964,2075.639476281195
43,JOA,818.0,1.6897,484.1096052553708
44,PRACA SECA,64147.0,6.5,9868.76923076923
45,PECHINCHA,34709.0,2.8308999999999997,12260.765127697907
46,RECREIO DOS BANDEIRANTES,82240.0,30.6556,2682.7072378293037
47,TANQUE,37856.0,5.568,6798.850574712644
48,TAQUARA,102126.0,13.206600000000002,7732.951705965198
49,VARGEM GRANDE,14039.0,39.3804,356.4971407095916
50,VARGEM PEQUENA,27250.0,14.4383,1887.3413074946498
51,VILA VALQUEIRE,32279.0,4.232200000000001,7627.002504607532
52,JARDIM SULACAP,13062.0,7.869199999999999,1659.8891882275202
53,BANGU,243125.0,45.7,5320.0218818380745
54,CAMPO DOS AFONSOS,1365.0,3.2523,419.7029794299419
55,DEODORO,10842.0,4.6405,2336.386165283913
56,GERICINO,15167.0,7.3196,2072.107765451664
57,MAGALHAES BASTOS,24430.0,1.9759,12363.986031681765
58,PADRE MIGUEL,64228.0,4.8658,13199.88491101155
59,REALENGO,180123.0,26.0542,6913.395920811232
60,SANTISSIMO,41458.0,8.319600000000001,4983.172267897495
61,SENADOR CAMARA,105515.0,17.2359,6121.815512970022
62,VILA KENNEDY,70000.0,7.2,9722.222222222223
63,VILA MILITAR,13184.0,10.7567,1225.65470822836
64,BARRA DE GUARATIBA,3577.0,9.442,378.83922897691167
65,CAMPO GRANDE,328370.0,119.0,2759.4117647058824
66,COSMOS,77007.0,11.2613,6838.198076598616
67,GUARATIBA,110049.0,139.5012,788.8749344091663
68,INHOAIBA,64649.0,8.2879,7800.407823453468
69,PACIENCIA,140527.0,27.418000000000003,5125.355605806404
70,PEDRA DE GUARATIBA,9488.0,3.6369,2608.8151997580358
71,SANTA CRUZ,217333.0,125.0,1738.664
72,SENADOR VASCONCELOS,30600.0,6.4418,4750.225092365488
73,SEPETIBA,56575.0,11.621300000000002,4868.21612039961
74,ALTO DA BOA VISTA,9343.0,31.495700000000003,296.6436688182831
75,ANDARAI,39365.0,2.2613,17408.128067925532
76,GRAJAU,38671.0,5.7391,6738.164520569428
77,MARACANA,25256.0,1.6673,15147.843819348647
78,PRACA DA BANDEIRA,8662.0,0.7199,12032.22669815252
79,TIJUCA,163805.0,10.0656,16273.744237800032
80,VILA ISABEL,86018.0,3.2171,26737.745174225234
81,ABOLICAO,11356.0,0.6163000000000001,18426.09118935583
82,AGUA SANTA,8756.0,2.4262,3608.935784354134
83,CACHAMBI,42415.0,2.2502,18849.435605723935
84,DEL CASTILHO,15610.0,1.4409,10833.506836005274
85,ENCANTADO,15021.0,1.0601,14169.417979435902
86,ENGENHO DE DENTRO,45540.0,3.9204000000000003,11616.161616161615
87,ENGENHO NOVO,42172.0,2.6448,15945.251058681186
88,HIGIENOPOLIS,15734.0,1.1575,13593.088552915768
89,JACARE,9276.0,0.8426,11008.78234037503
90,JACAREZINHO,37839.0,0.9439,40087.93304375464
91,LINS DE VASCONCELOS,37487.0,2.6692,14044.282931215344
92,MANGUINHOS,36610.0,2.6184,13981.820959364499
93,MARIA DA GRACA,7972.0,0.825,9663.030303030304
94,MEIER,49828.0,2.4709,20165.931441984703
95,PIEDADE,43378.0,3.8870999999999998,11159.47621620231
96,PILARES,27250.0,1.8363999999999998,14838.815072968853
97,RIACHUELO,12653.0,0.9281,13633.229177890313
98,ROCHA,8766.0,1.3115999999999999,6683.440073193047
99,SAMPAIO,10895.0,0.8843000000000001,12320.47947529119
100,SAO FRANCISCO XAVIER,8343.0,0.6489,12857.142857142857
101,TODOS OS SANTOS,24646.0,1.0127,24336.921102004544
102,BONSUCESSO,18711.0,2.1997,8506.159930899668
103,BANCARIOS,12512.0,0.978,12793.456032719836
104,CACUIA,11013.0,2.0687,5323.633199593947
105,CIDADE UNIVERSITARIA,1556.0,9.458300000000001,164.5115929923982
106,COCOTA,4877.0,0.4901,9951.030401958784
107,FREGUESIA,19437.0,4.0564,4791.687210334287
108,GALEAO,22971.0,18.9574,1211.7167966071297
109,JARDIM CARIOCA,24848.0,1.6211000000000002,15327.863796187772
110,JARDIM GUANABARA,29509.0,3.2058999999999997,9204.591534358527
111,MARE,129770.0,4.2688,30399.643928035985
112,MONERO,6476.0,0.5206000000000001,12439.49289281598
113,OLARIA,57514.0,3.6898,15587.294704320018
