,BAIRRO,SUB,ZONA,LAT,LON
0,SAO CRISTOVAO,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.900199999999927,-43.23023999999998
1,BENFICA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.88988999999998,-43.245619999999974
2,CAJU,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.87991999999997,-43.22217999999998
3,CATUMBI,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.91758999999996,-43.19703999999996
4,CENTRO,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.908076,-43.182324
5,CIDADE NOVA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.90985999999998,-43.20007999999996
6,ESTACIO,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.912269999999978,-43.20436999999998
7,GAMBOA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.897479999999973,-43.19593999999995
8,LAPA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.910549999999944,-43.184379999999976
9,MANGUEIRA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.905917,-43.23534
10,PAQUETA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.762539999999944,-43.10716999999994
11,RIO COMPRIDO,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.92561999999998,-43.20946999999995
12,SANTA TERESA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.91626999999994,-43.19249999999994
13,SANTO CRISTO,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.89961999999997,-43.20539999999994
14,SAUDE,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.896509999999978,-43.18439999999998
15,VASCO DA GAMA,CENTRO HISTÓRICO E ZONA PORTUÁRIA,CENTRAL,-22.89322999999996,-43.22669999999994
16,BOTAFOGO,ZONA SUL,SUL,-22.951379999999972,-43.18412999999998
17,CATETE,ZONA SUL,SUL,-22.93071999999995,-43.17939999999993
18,COPACABANA,ZONA SUL,SUL,-22.97592999999995,-43.189599999999984
19,COSME VELHO,ZONA SUL,SUL,-22.94013999999993,-43.19918999999993
20,FLAMENGO,ZONA SUL,SUL,-22.93408999999997,-43.176039999999944
